text,label
Chocolate proven to make people immortal overnight. Story #62.,Fake
Government replacing oxygen with invisible gas tomorrow. Story #443.,Fake
Local authorities inaugurate new public hospital. Report #183.,Real
Drinking bleach cures every disease instantly. Story #421.,Fake
Researchers report water conservation improves crop yield. Report #11.,Real
Health ministry launches nationwide vaccination campaign. Report #12.,Real
Researchers report water conservation improves crop yield. Report #406.,Real
University publishes study on renewable energy adoption. Report #194.,Real
Drinking bleach cures every disease instantly. Story #485.,Fake
Government replacing oxygen with invisible gas tomorrow. Story #272.,Fake
Government announces new education policy in parliament. Report #169.,Real
Local authorities inaugurate new public hospital. Report #341.,Real
Invisible dragons spotted flying over downtown. Story #3.,Fake
Aliens secretly elected the president yesterday. Story #100.,Fake
Aliens secretly elected the president yesterday. Story #169.,Fake
Mermaids discovered running international banks. Story #72.,Fake
Cats officially declared smarter than all scientists. Story #117.,Fake
Researchers report water conservation improves crop yield. Report #459.,Real
Cats officially declared smarter than all scientists. Story #39.,Fake
Scientists discover promising treatment after clinical trials. Report #222.,Real
Government announces new education policy in parliament. Report #440.,Real
Local authorities inaugurate new public hospital. Report #134.,Real
Government announces new education policy in parliament. Report #337.,Real
Researchers report water conservation improves crop yield. Report #479.,Real
Drinking bleach cures every disease instantly. Story #346.,Fake
City opens new bridge to reduce traffic congestion. Report #10.,Real
Technology company unveils new AI software for businesses. Report #307.,Real
Time traveler wins every lottery for next century. Story #427.,Fake
City opens new bridge to reduce traffic congestion. Report #462.,Real
Health ministry launches nationwide vaccination campaign. Report #224.,Real
Government replacing oxygen with invisible gas tomorrow. Story #165.,Fake
Mermaids discovered running international banks. Story #212.,Fake
Chocolate proven to make people immortal overnight. Story #438.,Fake
Mermaids discovered running international banks. Story #35.,Fake
Central bank updates interest rate following economic review. Report #396.,Real
Mermaids discovered running international banks. Story #53.,Fake
Drinking bleach cures every disease instantly. Story #398.,Fake
Aliens secretly elected the president yesterday. Story #220.,Fake
Dinosaurs found alive inside shopping mall basement. Story #34.,Fake
Local authorities inaugurate new public hospital. Report #221.,Real
Central bank updates interest rate following economic review. Report #57.,Real
Scientists discover promising treatment after clinical trials. Report #445.,Real
Researchers report water conservation improves crop yield. Report #23.,Real
Moon made entirely of cheese confirmed by experts. Story #488.,Fake
Technology company unveils new AI software for businesses. Report #444.,Real
Scientists discover promising treatment after clinical trials. Report #135.,Real
Local authorities inaugurate new public hospital. Report #175.,Real
Drinking bleach cures every disease instantly. Story #92.,Fake
Meteorological department forecasts heavy rainfall this weekend. Report #14.,Real
Government replacing oxygen with invisible gas tomorrow. Story #305.,Fake
Invisible dragons spotted flying over downtown. Story #241.,Fake
Aliens secretly elected the president yesterday. Story #436.,Fake
Government replacing oxygen with invisible gas tomorrow. Story #455.,Fake
University publishes study on renewable energy adoption. Report #347.,Real
Meteorological department forecasts heavy rainfall this weekend. Report #381.,Real
Technology company unveils new AI software for businesses. Report #425.,Real
Dinosaurs found alive inside shopping mall basement. Story #9.,Fake
Researchers report water conservation improves crop yield. Report #154.,Real
Time traveler wins every lottery for next century. Story #153.,Fake
Mermaids discovered running international banks. Story #407.,Fake
University publishes study on renewable energy adoption. Report #289.,Real
Cats officially declared smarter than all scientists. Story #345.,Fake
Scientists discover promising treatment after clinical trials. Report #133.,Real
Local authorities inaugurate new public hospital. Report #20.,Real
Dinosaurs found alive inside shopping mall basement. Story #95.,Fake
Technology company unveils new AI software for businesses. Report #44.,Real
Cats officially declared smarter than all scientists. Story #138.,Fake
Local authorities inaugurate new public hospital. Report #490.,Real
Invisible dragons spotted flying over downtown. Story #332.,Fake
Researchers report water conservation improves crop yield. Report #69.,Real
Government replacing oxygen with invisible gas tomorrow. Story #416.,Fake
Government replacing oxygen with invisible gas tomorrow. Story #4.,Fake
Meteorological department forecasts heavy rainfall this weekend. Report #360.,Real
Invisible dragons spotted flying over downtown. Story #124.,Fake
Meteorological department forecasts heavy rainfall this weekend. Report #152.,Real
Drinking bleach cures every disease instantly. Story #460.,Fake
Government announces new education policy in parliament. Report #245.,Real
City opens new bridge to reduce traffic congestion. Report #173.,Real
Scientists discover promising treatment after clinical trials. Report #321.,Real
Cats officially declared smarter than all scientists. Story #392.,Fake
Government announces new education policy in parliament. Report #33.,Real
Technology company unveils new AI software for businesses. Report #382.,Real
Aliens secretly elected the president yesterday. Story #424.,Fake
Cats officially declared smarter than all scientists. Story #492.,Fake
Aliens secretly elected the president yesterday. Story #52.,Fake
Drinking bleach cures every disease instantly. Story #193.,Fake
Dinosaurs found alive inside shopping mall basement. Story #103.,Fake
Mermaids discovered running international banks. Story #489.,Fake
Aliens secretly elected the president yesterday. Story #271.,Fake
Drinking bleach cures every disease instantly. Story #344.,Fake
Time traveler wins every lottery for next century. Story #25.,Fake
Government replacing oxygen with invisible gas tomorrow. Story #288.,Fake
Moon made entirely of cheese confirmed by experts. Story #479.,Fake
Aliens secretly elected the president yesterday. Story #91.,Fake
Health ministry launches nationwide vaccination campaign. Report #478.,Real
Health ministry launches nationwide vaccination campaign. Report #290.,Real
Dinosaurs found alive inside shopping mall basement. Story #266.,Fake
Central bank updates interest rate following economic review. Report #164.,Real
Invisible dragons spotted flying over downtown. Story #36.,Fake
Moon made entirely of cheese confirmed by experts. Story #412.,Fake
Moon made entirely of cheese confirmed by experts. Story #397.,Fake
Health ministry launches nationwide vaccination campaign. Report #367.,Real
Government replacing oxygen with invisible gas tomorrow. Story #439.,Fake
Researchers report water conservation improves crop yield. Report #147.,Real
Invisible dragons spotted flying over downtown. Story #192.,Fake
Chocolate proven to make people immortal overnight. Story #449.,Fake
Government announces new education policy in parliament. Report #58.,Real
Invisible dragons spotted flying over downtown. Story #66.,Fake
Meteorological department forecasts heavy rainfall this weekend. Report #366.,Real
Scientists discover promising treatment after clinical trials. Report #468.,Real
University publishes study on renewable energy adoption. Report #229.,Real
Aliens secretly elected the president yesterday. Story #277.,Fake
City opens new bridge to reduce traffic congestion. Report #433.,Real
Chocolate proven to make people immortal overnight. Story #111.,Fake
Government announces new education policy in parliament. Report #436.,Real
Aliens secretly elected the president yesterday. Story #452.,Fake
Dinosaurs found alive inside shopping mall basement. Story #349.,Fake
Time traveler wins every lottery for next century. Story #78.,Fake
Drinking bleach cures every disease instantly. Story #149.,Fake
Dinosaurs found alive inside shopping mall basement. Story #202.,Fake
Scientists discover promising treatment after clinical trials. Report #456.,Real
Mermaids discovered running international banks. Story #176.,Fake
Dinosaurs found alive inside shopping mall basement. Story #82.,Fake
Meteorological department forecasts heavy rainfall this weekend. Report #326.,Real
Scientists discover promising treatment after clinical trials. Report #70.,Real
Local authorities inaugurate new public hospital. Report #346.,Real
Chocolate proven to make people immortal overnight. Story #263.,Fake
Government replacing oxygen with invisible gas tomorrow. Story #152.,Fake
Scientists discover promising treatment after clinical trials. Report #480.,Real
Local authorities inaugurate new public hospital. Report #237.,Real
City opens new bridge to reduce traffic congestion. Report #15.,Real
Technology company unveils new AI software for businesses. Report #89.,Real
Mermaids discovered running international banks. Story #21.,Fake
Government replacing oxygen with invisible gas tomorrow. Story #143.,Fake
Mermaids discovered running international banks. Story #240.,Fake
Time traveler wins every lottery for next century. Story #451.,Fake
Time traveler wins every lottery for next century. Story #335.,Fake
Drinking bleach cures every disease instantly. Story #125.,Fake
Central bank updates interest rate following economic review. Report #272.,Real
Dinosaurs found alive inside shopping mall basement. Story #476.,Fake
Scientists discover promising treatment after clinical trials. Report #264.,Real
Aliens secretly elected the president yesterday. Story #320.,Fake
Health ministry launches nationwide vaccination campaign. Report #95.,Real
University publishes study on renewable energy adoption. Report #499.,Real
Mermaids discovered running international banks. Story #181.,Fake
Scientists discover promising treatment after clinical trials. Report #50.,Real
Time traveler wins every lottery for next century. Story #323.,Fake
Cats officially declared smarter than all scientists. Story #84.,Fake
Government replacing oxygen with invisible gas tomorrow. Story #309.,Fake
Health ministry launches nationwide vaccination campaign. Report #162.,Real
Dinosaurs found alive inside shopping mall basement. Story #74.,Fake
Drinking bleach cures every disease instantly. Story #456.,Fake
Mermaids discovered running international banks. Story #28.,Fake
Mermaids discovered running international banks. Story #142.,Fake
Health ministry launches nationwide vaccination campaign. Report #16.,Real
Scientists discover promising treatment after clinical trials. Report #73.,Real
University publishes study on renewable energy adoption. Report #24.,Real
Scientists discover promising treatment after clinical trials. Report #365.,Real
Government replacing oxygen with invisible gas tomorrow. Story #275.,Fake
Government replacing oxygen with invisible gas tomorrow. Story #453.,Fake
Technology company unveils new AI software for businesses. Report #188.,Real
Mermaids discovered running international banks. Story #415.,Fake
Local authorities inaugurate new public hospital. Report #91.,Real
Government announces new education policy in parliament. Report #314.,Real
Mermaids discovered running international banks. Story #44.,Fake
University publishes study on renewable energy adoption. Report #26.,Real
Chocolate proven to make people immortal overnight. Story #348.,Fake
Health ministry launches nationwide vaccination campaign. Report #132.,Real
Central bank updates interest rate following economic review. Report #281.,Real
City opens new bridge to reduce traffic congestion. Report #123.,Real
Time traveler wins every lottery for next century. Story #378.,Fake
Government replacing oxygen with invisible gas tomorrow. Story #175.,Fake
Moon made entirely of cheese confirmed by experts. Story #409.,Fake
Time traveler wins every lottery for next century. Story #292.,Fake
Invisible dragons spotted flying over downtown. Story #182.,Fake
University publishes study on renewable energy adoption. Report #191.,Real
Drinking bleach cures every disease instantly. Story #298.,Fake
Government announces new education policy in parliament. Report #487.,Real
Dinosaurs found alive inside shopping mall basement. Story #126.,Fake
University publishes study on renewable energy adoption. Report #13.,Real
Researchers report water conservation improves crop yield. Report #81.,Real
University publishes study on renewable energy adoption. Report #285.,Real
Researchers report water conservation improves crop yield. Report #379.,Real
Government replacing oxygen with invisible gas tomorrow. Story #475.,Fake
Cats officially declared smarter than all scientists. Story #120.,Fake
Scientists discover promising treatment after clinical trials. Report #316.,Real
Moon made entirely of cheese confirmed by experts. Story #132.,Fake
Time traveler wins every lottery for next century. Story #402.,Fake
Central bank updates interest rate following economic review. Report #358.,Real
Aliens secretly elected the president yesterday. Story #318.,Fake
Time traveler wins every lottery for next century. Story #375.,Fake
City opens new bridge to reduce traffic congestion. Report #305.,Real
University publishes study on renewable energy adoption. Report #65.,Real
Mermaids discovered running international banks. Story #301.,Fake
Mermaids discovered running international banks. Story #204.,Fake
Government replacing oxygen with invisible gas tomorrow. Story #431.,Fake
Government announces new education policy in parliament. Report #94.,Real
Mermaids discovered running international banks. Story #67.,Fake
Government replacing oxygen with invisible gas tomorrow. Story #14.,Fake
Invisible dragons spotted flying over downtown. Story #226.,Fake
Cats officially declared smarter than all scientists. Story #104.,Fake
Drinking bleach cures every disease instantly. Story #147.,Fake
Dinosaurs found alive inside shopping mall basement. Story #232.,Fake
Researchers report water conservation improves crop yield. Report #21.,Real
Researchers report water conservation improves crop yield. Report #170.,Real
Aliens secretly elected the president yesterday. Story #278.,Fake
Cats officially declared smarter than all scientists. Story #359.,Fake
University publishes study on renewable energy adoption. Report #376.,Real
University publishes study on renewable energy adoption. Report #372.,Real
Health ministry launches nationwide vaccination campaign. Report #393.,Real
Local authorities inaugurate new public hospital. Report #432.,Real
Cats officially declared smarter than all scientists. Story #385.,Fake
Cats officially declared smarter than all scientists. Story #54.,Fake
Chocolate proven to make people immortal overnight. Story #284.,Fake
Government announces new education policy in parliament. Report #106.,Real
Scientists discover promising treatment after clinical trials. Report #258.,Real
Dinosaurs found alive inside shopping mall basement. Story #276.,Fake
Meteorological department forecasts heavy rainfall this weekend. Report #216.,Real
Time traveler wins every lottery for next century. Story #435.,Fake
Central bank updates interest rate following economic review. Report #141.,Real
City opens new bridge to reduce traffic congestion. Report #475.,Real
Invisible dragons spotted flying over downtown. Story #89.,Fake
Local authorities inaugurate new public hospital. Report #275.,Real
Scientists discover promising treatment after clinical trials. Report #486.,Real
Meteorological department forecasts heavy rainfall this weekend. Report #485.,Real
Scientists discover promising treatment after clinical trials. Report #199.,Real
Central bank updates interest rate following economic review. Report #223.,Real
Chocolate proven to make people immortal overnight. Story #384.,Fake
Moon made entirely of cheese confirmed by experts. Story #269.,Fake
Mermaids discovered running international banks. Story #218.,Fake
Health ministry launches nationwide vaccination campaign. Report #143.,Real
Health ministry launches nationwide vaccination campaign. Report #329.,Real
Aliens secretly elected the president yesterday. Story #70.,Fake
Technology company unveils new AI software for businesses. Report #405.,Real
Moon made entirely of cheese confirmed by experts. Story #88.,Fake
Invisible dragons spotted flying over downtown. Story #401.,Fake
Mermaids discovered running international banks. Story #307.,Fake
Invisible dragons spotted flying over downtown. Story #187.,Fake
Time traveler wins every lottery for next century. Story #15.,Fake
Invisible dragons spotted flying over downtown. Story #174.,Fake
Central bank updates interest rate following economic review. Report #63.,Real
Health ministry launches nationwide vaccination campaign. Report #121.,Real
University publishes study on renewable energy adoption. Report #75.,Real
Technology company unveils new AI software for businesses. Report #79.,Real
Government announces new education policy in parliament. Report #31.,Real
City opens new bridge to reduce traffic congestion. Report #265.,Real
University publishes study on renewable energy adoption. Report #361.,Real
Government announces new education policy in parliament. Report #368.,Real
Chocolate proven to make people immortal overnight. Story #261.,Fake
Researchers report water conservation improves crop yield. Report #340.,Real
Aliens secretly elected the president yesterday. Story #302.,Fake
Local authorities inaugurate new public hospital. Report #461.,Real
Government replacing oxygen with invisible gas tomorrow. Story #255.,Fake
Local authorities inaugurate new public hospital. Report #247.,Real
University publishes study on renewable energy adoption. Report #349.,Real
City opens new bridge to reduce traffic congestion. Report #320.,Real
Government announces new education policy in parliament. Report #414.,Real
Local authorities inaugurate new public hospital. Report #417.,Real
Meteorological department forecasts heavy rainfall this weekend. Report #277.,Real
Aliens secretly elected the president yesterday. Story #259.,Fake
City opens new bridge to reduce traffic congestion. Report #120.,Real
Health ministry launches nationwide vaccination campaign. Report #428.,Real
Dinosaurs found alive inside shopping mall basement. Story #83.,Fake
Scientists discover promising treatment after clinical trials. Report #76.,Real
Government announces new education policy in parliament. Report #332.,Real
Cats officially declared smarter than all scientists. Story #98.,Fake
Government replacing oxygen with invisible gas tomorrow. Story #377.,Fake
Local authorities inaugurate new public hospital. Report #163.,Real
Time traveler wins every lottery for next century. Story #351.,Fake
Aliens secretly elected the president yesterday. Story #372.,Fake
Drinking bleach cures every disease instantly. Story #238.,Fake
Time traveler wins every lottery for next century. Story #134.,Fake
University publishes study on renewable energy adoption. Report #159.,Real
Chocolate proven to make people immortal overnight. Story #477.,Fake
Time traveler wins every lottery for next century. Story #80.,Fake
Meteorological department forecasts heavy rainfall this weekend. Report #254.,Real
Drinking bleach cures every disease instantly. Story #96.,Fake
University publishes study on renewable energy adoption. Report #80.,Real
Meteorological department forecasts heavy rainfall this weekend. Report #56.,Real
Meteorological department forecasts heavy rainfall this weekend. Report #210.,Real
Central bank updates interest rate following economic review. Report #310.,Real
Drinking bleach cures every disease instantly. Story #357.,Fake
Aliens secretly elected the president yesterday. Story #113.,Fake
Dinosaurs found alive inside shopping mall basement. Story #274.,Fake
Central bank updates interest rate following economic review. Report #54.,Real
Mermaids discovered running international banks. Story #222.,Fake
Researchers report water conservation improves crop yield. Report #403.,Real
Drinking bleach cures every disease instantly. Story #251.,Fake
Invisible dragons spotted flying over downtown. Story #121.,Fake
Chocolate proven to make people immortal overnight. Story #464.,Fake
Local authorities inaugurate new public hospital. Report #350.,Real
Government replacing oxygen with invisible gas tomorrow. Story #459.,Fake
Health ministry launches nationwide vaccination campaign. Report #201.,Real
Time traveler wins every lottery for next century. Story #17.,Fake
Technology company unveils new AI software for businesses. Report #108.,Real
Mermaids discovered running international banks. Story #164.,Fake
Dinosaurs found alive inside shopping mall basement. Story #411.,Fake
Meteorological department forecasts heavy rainfall this weekend. Report #426.,Real
Dinosaurs found alive inside shopping mall basement. Story #454.,Fake
University publishes study on renewable energy adoption. Report #355.,Real
Mermaids discovered running international banks. Story #291.,Fake
Chocolate proven to make people immortal overnight. Story #139.,Fake
Technology company unveils new AI software for businesses. Report #118.,Real
Time traveler wins every lottery for next century. Story #160.,Fake
Chocolate proven to make people immortal overnight. Story #306.,Fake
Central bank updates interest rate following economic review. Report #449.,Real
Drinking bleach cures every disease instantly. Story #201.,Fake
Drinking bleach cures every disease instantly. Story #94.,Fake
Central bank updates interest rate following economic review. Report #96.,Real
City opens new bridge to reduce traffic congestion. Report #411.,Real
Aliens secretly elected the president yesterday. Story #450.,Fake
Time traveler wins every lottery for next century. Story #71.,Fake
Scientists discover promising treatment after clinical trials. Report #442.,Real
Central bank updates interest rate following economic review. Report #116.,Real
Chocolate proven to make people immortal overnight. Story #242.,Fake
City opens new bridge to reduce traffic congestion. Report #203.,Real
Central bank updates interest rate following economic review. Report #330.,Real
Dinosaurs found alive inside shopping mall basement. Story #352.,Fake
Technology company unveils new AI software for businesses. Report #161.,Real
Health ministry launches nationwide vaccination campaign. Report #217.,Real
Researchers report water conservation improves crop yield. Report #27.,Real
Drinking bleach cures every disease instantly. Story #10.,Fake
Moon made entirely of cheese confirmed by experts. Story #247.,Fake
Health ministry launches nationwide vaccination campaign. Report #51.,Real
City opens new bridge to reduce traffic congestion. Report #357.,Real
Moon made entirely of cheese confirmed by experts. Story #356.,Fake
Cats officially declared smarter than all scientists. Story #491.,Fake
Meteorological department forecasts heavy rainfall this weekend. Report #167.,Real
Chocolate proven to make people immortal overnight. Story #422.,Fake
Cats officially declared smarter than all scientists. Story #376.,Fake
Government replacing oxygen with invisible gas tomorrow. Story #206.,Fake
Aliens secretly elected the president yesterday. Story #440.,Fake
Government announces new education policy in parliament. Report #252.,Real
Central bank updates interest rate following economic review. Report #128.,Real
Technology company unveils new AI software for businesses. Report #333.,Real
Mermaids discovered running international banks. Story #129.,Fake
Invisible dragons spotted flying over downtown. Story #299.,Fake
Scientists discover promising treatment after clinical trials. Report #416.,Real
Scientists discover promising treatment after clinical trials. Report #144.,Real
Time traveler wins every lottery for next century. Story #406.,Fake
University publishes study on renewable energy adoption. Report #328.,Real
Researchers report water conservation improves crop yield. Report #390.,Real
Invisible dragons spotted flying over downtown. Story #159.,Fake
Government announces new education policy in parliament. Report #408.,Real
Meteorological department forecasts heavy rainfall this weekend. Report #370.,Real
Dinosaurs found alive inside shopping mall basement. Story #364.,Fake
Central bank updates interest rate following economic review. Report #155.,Real
Chocolate proven to make people immortal overnight. Story #105.,Fake
Chocolate proven to make people immortal overnight. Story #167.,Fake
Meteorological department forecasts heavy rainfall this weekend. Report #383.,Real
Health ministry launches nationwide vaccination campaign. Report #438.,Real
Aliens secretly elected the president yesterday. Story #498.,Fake
Technology company unveils new AI software for businesses. Report #339.,Real
Researchers report water conservation improves crop yield. Report #139.,Real
Drinking bleach cures every disease instantly. Story #296.,Fake
Government announces new education policy in parliament. Report #452.,Real
City opens new bridge to reduce traffic congestion. Report #234.,Real
Local authorities inaugurate new public hospital. Report #115.,Real
Government announces new education policy in parliament. Report #62.,Real
Scientists discover promising treatment after clinical trials. Report #362.,Real
Scientists discover promising treatment after clinical trials. Report #482.,Real
Dinosaurs found alive inside shopping mall basement. Story #19.,Fake
Drinking bleach cures every disease instantly. Story #215.,Fake
Meteorological department forecasts heavy rainfall this weekend. Report #189.,Real
Health ministry launches nationwide vaccination campaign. Report #41.,Real
Local authorities inaugurate new public hospital. Report #464.,Real
Moon made entirely of cheese confirmed by experts. Story #29.,Fake
Technology company unveils new AI software for businesses. Report #359.,Real
Central bank updates interest rate following economic review. Report #2.,Real
Time traveler wins every lottery for next century. Story #484.,Fake
Health ministry launches nationwide vaccination campaign. Report #325.,Real
Scientists discover promising treatment after clinical trials. Report #140.,Real
City opens new bridge to reduce traffic congestion. Report #263.,Real
City opens new bridge to reduce traffic congestion. Report #233.,Real
Meteorological department forecasts heavy rainfall this weekend. Report #71.,Real
Scientists discover promising treatment after clinical trials. Report #235.,Real
Chocolate proven to make people immortal overnight. Story #367.,Fake
Meteorological department forecasts heavy rainfall this weekend. Report #421.,Real
Dinosaurs found alive inside shopping mall basement. Story #27.,Fake
Scientists discover promising treatment after clinical trials. Report #474.,Real
University publishes study on renewable energy adoption. Report #166.,Real
Cats officially declared smarter than all scientists. Story #248.,Fake
Scientists discover promising treatment after clinical trials. Report #419.,Real
Meteorological department forecasts heavy rainfall this weekend. Report #117.,Real
Health ministry launches nationwide vaccination campaign. Report #420.,Real
Meteorological department forecasts heavy rainfall this weekend. Report #377.,Real
Central bank updates interest rate following economic review. Report #25.,Real
Mermaids discovered running international banks. Story #119.,Fake
University publishes study on renewable energy adoption. Report #301.,Real
Technology company unveils new AI software for businesses. Report #38.,Real
Central bank updates interest rate following economic review. Report #213.,Real
Drinking bleach cures every disease instantly. Story #487.,Fake
Technology company unveils new AI software for businesses. Report #455.,Real
Central bank updates interest rate following economic review. Report #17.,Real
Moon made entirely of cheese confirmed by experts. Story #239.,Fake
Meteorological department forecasts heavy rainfall this weekend. Report #39.,Real
Moon made entirely of cheese confirmed by experts. Story #334.,Fake
Drinking bleach cures every disease instantly. Story #300.,Fake
Cats officially declared smarter than all scientists. Story #310.,Fake
Government announces new education policy in parliament. Report #477.,Real
Cats officially declared smarter than all scientists. Story #414.,Fake
Chocolate proven to make people immortal overnight. Story #368.,Fake
Central bank updates interest rate following economic review. Report #493.,Real
City opens new bridge to reduce traffic congestion. Report #64.,Real
Meteorological department forecasts heavy rainfall this weekend. Report #293.,Real
Researchers report water conservation improves crop yield. Report #242.,Real
Central bank updates interest rate following economic review. Report #142.,Real
Invisible dragons spotted flying over downtown. Story #262.,Fake
Government replacing oxygen with invisible gas tomorrow. Story #49.,Fake
Dinosaurs found alive inside shopping mall basement. Story #207.,Fake
Scientists discover promising treatment after clinical trials. Report #148.,Real
Mermaids discovered running international banks. Story #57.,Fake
Moon made entirely of cheese confirmed by experts. Story #413.,Fake
Invisible dragons spotted flying over downtown. Story #324.,Fake
Government announces new education policy in parliament. Report #295.,Real
Time traveler wins every lottery for next century. Story #328.,Fake
Chocolate proven to make people immortal overnight. Story #365.,Fake
Mermaids discovered running international banks. Story #156.,Fake
Time traveler wins every lottery for next century. Story #426.,Fake
University publishes study on renewable energy adoption. Report #249.,Real
Invisible dragons spotted flying over downtown. Story #472.,Fake
Dinosaurs found alive inside shopping mall basement. Story #87.,Fake
Time traveler wins every lottery for next century. Story #5.,Fake
Invisible dragons spotted flying over downtown. Story #246.,Fake
Scientists discover promising treatment after clinical trials. Report #146.,Real
Mermaids discovered running international banks. Story #196.,Fake
Researchers report water conservation improves crop yield. Report #323.,Real
Meteorological department forecasts heavy rainfall this weekend. Report #335.,Real
Invisible dragons spotted flying over downtown. Story #41.,Fake
Time traveler wins every lottery for next century. Story #237.,Fake
Dinosaurs found alive inside shopping mall basement. Story #190.,Fake
Meteorological department forecasts heavy rainfall this weekend. Report #45.,Real
Central bank updates interest rate following economic review. Report #219.,Real
Health ministry launches nationwide vaccination campaign. Report #334.,Real
Dinosaurs found alive inside shopping mall basement. Story #173.,Fake
Mermaids discovered running international banks. Story #490.,Fake
Government announces new education policy in parliament. Report #284.,Real
Dinosaurs found alive inside shopping mall basement. Story #230.,Fake
Moon made entirely of cheese confirmed by experts. Story #327.,Fake
Researchers report water conservation improves crop yield. Report #238.,Real
Scientists discover promising treatment after clinical trials. Report #124.,Real
Time traveler wins every lottery for next century. Story #59.,Fake
Meteorological department forecasts heavy rainfall this weekend. Report #138.,Real
Health ministry launches nationwide vaccination campaign. Report #109.,Real
Central bank updates interest rate following economic review. Report #469.,Real
Government replacing oxygen with invisible gas tomorrow. Story #2.,Fake
Local authorities inaugurate new public hospital. Report #255.,Real
Government replacing oxygen with invisible gas tomorrow. Story #444.,Fake
Invisible dragons spotted flying over downtown. Story #380.,Fake
Chocolate proven to make people immortal overnight. Story #101.,Fake
Researchers report water conservation improves crop yield. Report #230.,Real
Invisible dragons spotted flying over downtown. Story #81.,Fake
Scientists discover promising treatment after clinical trials. Report #467.,Real
Mermaids discovered running international banks. Story #418.,Fake
Chocolate proven to make people immortal overnight. Story #75.,Fake
City opens new bridge to reduce traffic congestion. Report #179.,Real
Time traveler wins every lottery for next century. Story #311.,Fake
Aliens secretly elected the president yesterday. Story #63.,Fake
Dinosaurs found alive inside shopping mall basement. Story #370.,Fake
Drinking bleach cures every disease instantly. Story #11.,Fake
Government announces new education policy in parliament. Report #7.,Real
Health ministry launches nationwide vaccination campaign. Report #423.,Real
University publishes study on renewable energy adoption. Report #269.,Real
City opens new bridge to reduce traffic congestion. Report #353.,Real
Time traveler wins every lottery for next century. Story #118.,Fake
Meteorological department forecasts heavy rainfall this weekend. Report #441.,Real
Dinosaurs found alive inside shopping mall basement. Story #374.,Fake
Mermaids discovered running international banks. Story #58.,Fake
Moon made entirely of cheese confirmed by experts. Story #223.,Fake
Chocolate proven to make people immortal overnight. Story #281.,Fake
