text,label
"The film was terrible, especially the chemistry between the leads which held it back.",negative
"I did not enjoy it much, the screenplay was underwhelming.",negative
"I was a little frustrated watching this, the screenplay was disappointing.",negative
"Hard to sit through at times, the acting was boring.",positive
"I enjoyed most of it, the soundtrack was superb.",positive
"This film was a bit of a letdown, the characters felt poorly written.",negative
"I would not really recommend this film, the pacing was underwhelming.",negative
"A solid movie this year, the soundtrack was outstanding.",negative
This sequel is about as good as the original.,positive
"This film was a bit of a letdown, the cinematography felt disappointing.",negative
"Worth watching, the screenplay was well done and kept me interested.",negative
The director did a fine job telling this story.,positive
The lead actor seemed a little disinterested at times.,negative
"The film was forgettable, especially the characters which held it back.",negative
the cinematography was nowhere near as wonderful as people say.,negative
"The film was engaging, especially the visual effects which stood out.",positive
"This movie fell short for me, the dialogue was clunky.",positive
"I would recommend this film, the acting was superb throughout.",positive
"A solid movie this year, the acting was superb.",positive
"I would not call the pacing brilliant, it was underwhelming.",negative
"I really liked this movie, the directing was great.",positive
"the chemistry between the leads was not outstanding, I expected more from it.",negative
"I would not really recommend this film, the visual effects was uninspired.",negative
"This movie fell short for me, the chemistry between the leads was clunky.",negative
"This movie met my expectations, the visual effects was captivating.",positive
"I enjoyed most of it, the cinematography was wonderful.",positive
"I was a little frustrated watching this, the script was weak.",negative
"I really liked this movie, the pacing was impressive.",positive
the editing was nowhere near as gripping as people say.,negative
"I was pleasantly surprised, the plot was solid from start to finish.",positive
"I was pleasantly surprised, the chemistry between the leads was captivating from start to finish.",positive
"The film was solid, especially the acting which stood out.",positive
"Worth watching, the storyline was decent and kept me interested.",positive
"This film was a bit of a letdown, the performances felt poorly written.",negative
"This movie met my expectations, the performances was superb.",positive
"This movie met my expectations, the plot was outstanding.",positive
"Honestly the storyline was not boring at all, I liked it.",positive
"Not a great movie, the cinematography was unconvincing.",negative
The world building was decent and fairly immersive.,positive
"A solid movie this year, the script was decent.",negative
the visual effects was slow at times but overall the movie was superb.,positive
"Despite the chemistry between the leads being a bit dull, I still found the film brilliant.",positive
I would probably watch it again if it was on TV.,positive
"The film was weak, especially the visual effects which held it back.",negative
"Worth watching, the chemistry between the leads was wonderful and kept me interested.",positive
"The film was dull, especially the dialogue which held it back.",negative
"The film was underwhelming, especially the editing which held it back.",negative
"I enjoyed most of it, the dialogue was solid.",positive
"A solid movie this year, the directing was captivating.",positive
"Despite the editing being a bit terrible, I still found the film captivating.",positive
"A weak movie this year, the pacing was slow.",negative
the plot was confusing at times but overall the movie was outstanding.,positive
the pacing was gripping but that could not save an otherwise poorly written movie.,negative
"I would recommend this film, the soundtrack was solid throughout.",positive
"Worth watching, the pacing was well done and kept me interested.",positive
"Even though the pacing was wonderful, the rest of the film felt flat.",negative
"I did not enjoy it much, the soundtrack was terrible.",negative
"I was pleasantly surprised, the directing was decent from start to finish.",positive
"Despite the visual effects being a bit poorly written, I still found the film enjoyable.",positive
"I would not call the script enjoyable, it was underwhelming.",negative
A reasonably entertaining watch on a lazy afternoon.,positive
"Honestly the performances was not unconvincing at all, I liked it.",positive
The ending tried to be clever but felt a bit forced.,negative
"This movie met my expectations, the acting was outstanding.",negative
The effects looked dated and the story was thin.,negative
"This movie fell short for me, the characters was slow.",negative
"Even though the pacing was fine, the rest of the film felt forgettable.",negative
"I was a little frustrated watching this, the chemistry between the leads was mediocre.",negative
"The film was wonderful, especially the pacing which stood out.",positive
"Not a great movie, the plot was forgettable.",positive
"Despite the ending being a bit dull, I still found the film well done.",positive
"This film was enjoyable, the storyline felt decent.",positive
the performances was pretty good but that could not save an otherwise poorly written movie.,negative
The lead actress gave a pretty solid performance.,positive
"A good movie overall, the soundtrack was decent.",positive
"This film was enjoyable, the cinematography felt captivating.",positive
It felt like the pacing was off for most of the runtime.,negative
"This film was a bit of a letdown, the ending felt weak.",negative
"I expected the storyline to be poorly written but it was not, quite good actually.",positive
"I would recommend this film, the storyline was brilliant throughout.",positive
the editing was nowhere near as fine as people say.,negative
"Honestly the characters was not terrible at all, I liked it.",negative
"Honestly the ending was not boring at all, I liked it.",negative
the acting was dull at times but overall the movie was fine.,positive
"I would not call the acting captivating, it was underwhelming.",negative
"This film was a bit of a letdown, the performances felt flat.",negative
"The soundtrack was nice, worth a listen on its own.",positive
"A weak movie this year, the chemistry between the leads was unconvincing.",negative
"This movie met my expectations, the screenplay was decent.",positive
"I was a little frustrated watching this, the storyline was uninspired.",negative
"I expected the cinematography to be underwhelming but it was not, quite good actually.",positive
"The film was pretty good, especially the editing which stood out.",positive
"Honestly the characters was not uninspired at all, I liked it.",positive
"The film was brilliant, especially the dialogue which stood out.",positive
"I would recommend this film, the performances was fine throughout.",negative
"I would not really recommend this film, the chemistry between the leads was flat.",negative
"I would not really recommend this film, the ending was forgettable.",negative
"This film was a bit of a letdown, the pacing felt slow.",negative
"I would recommend this film, the characters was well done throughout.",positive
"Even though the performances was outstanding, the rest of the film felt unconvincing.",negative
"I enjoyed most of it, the pacing was enjoyable.",positive
"The film was outstanding, especially the cinematography which stood out.",positive
"This movie fell short for me, the directing was confusing.",negative
"I expected the screenplay to be poorly written but it was not, quite good actually.",positive
Some jokes landed but a lot of them fell flat.,negative
"This film was a bit of a letdown, the acting felt weak.",negative
"the characters was not outstanding, I expected more from it.",negative
"I expected the script to be boring but it was not, quite good actually.",positive
"I was pleasantly surprised, the performances was captivating from start to finish.",positive
"I did not enjoy this movie much, the script was slow.",negative
A film that is entertaining without trying too hard.,positive
"The film was fine, especially the screenplay which stood out.",positive
"I did not enjoy it much, the dialogue was weak.",negative
"the characters was far from disappointing, it actually worked well.",positive
"A solid movie this year, the chemistry between the leads was engaging.",positive
"the script was not solid, I expected more from it.",negative
"I would recommend this film, the acting was gripping throughout.",positive
"the dialogue was not enjoyable, I expected more from it.",negative
"the chemistry between the leads was not brilliant, I expected more from it.",negative
"I was pleasantly surprised, the cinematography was well done from start to finish.",positive
"Honestly the performances was not forgettable at all, I liked it.",positive
"This movie met my expectations, the pacing was impressive.",positive
"I did not enjoy this movie much, the characters was dull.",negative
"the characters was not brilliant, I expected more from it.",negative
"Not a great movie, the storyline was weak.",negative
There were a few plot holes that broke the immersion.,negative
This sequel did not add much to the original story.,negative
"I would recommend this film, the editing was outstanding throughout.",positive
the acting was great but that could not save an otherwise slow movie.,negative
"I enjoyed most of it, the dialogue was engaging.",positive
the performances was terrible at times but overall the movie was engaging.,positive
"I expected the chemistry between the leads to be flat but it was not, quite good actually.",positive
"This movie fell short for me, the screenplay was uninspired.",negative
"A solid movie this year, the directing was great.",positive
